# Added two lines
# To match the row number of world_cities.csv
filename,lat,lng,daylight,perc_day,darkness,per_dark,longest_day,longest_dark
AF-Qal_eh-ye,34.98300013,63.13329964,15444000,49%,16178400,51%,14,15
AF-Chaghcharan,34.5167011,65.25000063,15447600,49%,16174800,51%,14,15
AF-Lashkar_Gah,31.58299802,64.35999955,15508800,49%,16113600,51%,14,14
AF-Zaranj,31.11200108,61.88699752,15498000,49%,16124400,51%,14,14
AF-Tarin_Kowt,32.63329815,65.86669865,15534000,49%,16088400,51%,14,14
AF-Zareh_Sharan,32.85000016,68.41670453,15534000,49%,16088400,51%,14,14
AF-Asadabad,34.86600004,71.15000459,15440400,49%,16182000,51%,14,15
AF-Taloqan,36.72999904,69.54000364,15411600,49%,16210800,51%,14,15
AF-Mahmud-E_Eraqi,35.01669608,69.33330065,15436800,49%,16185600,51%,14,15
AF-Mehtar_Lam,34.65000001,70.16670052,15444000,49%,16178400,51%,14,15
AF-Baraki_Barak,33.9667021,68.96670354,15469200,49%,16153200,51%,14,15
AF-Aybak,36.26100015,68.04000051,15422400,49%,16200000,51%,14,15
AF-Mayda_Shahr,34.45000209,68.79999663,15458400,49%,16164000,51%,14,15
AF-Karokh,34.48676963,62.59177608,15451200,49%,16171200,51%,14,15
AF-Sheberghan,36.65798077,65.73830237,15415200,49%,16207200,51%,14,15
AF-Pol-e_Khomri,35.95107302,68.70111894,15422400,49%,16200000,51%,14,15
AF-Balkh,36.75011985,66.89973018,15411600,49%,16210800,51%,14,15
AF-Meymaneh,35.93022158,64.77009273,15418800,49%,16203600,51%,14,15
AF-Andkhvoy,36.93165916,65.10149369,15411600,49%,16210800,51%,14,15
AF-Qalat,32.11226341,66.8867594,15519600,49%,16102800,51%,14,14
AF-Ghazni,33.56331179,68.41782873,15490800,49%,16131600,51%,14,15
AF-Feyzabad,37.12976076,70.57924719,15408000,49%,16214400,51%,14,15
AF-Kondoz,36.72795066,68.87252966,15411600,49%,16210800,51%,14,15
AF-Jalalabad,34.44152692,70.43610347,15458400,49%,16164000,51%,14,15
AF-Charikar,35.01826174,69.16791215,15436800,49%,16185600,51%,14,15
AF-Gardiz,33.60005373,69.21462764,15483600,49%,16138800,51%,14,15
AF-Bamian,34.82106447,67.52103593,15440400,49%,16182000,51%,14,15
AF-Baghlan,36.13933026,68.69925858,15418800,49%,16203600,51%,14,15
AF-Farah,32.39172955,62.09681921,15526800,49%,16095600,51%,14,14
